2014-07-09|12:49:41|WorldCup v0.13.f|Match Stats File
MatchID|Team Side|Team Name|Goals Scored|Team Badge|Possession %|Shots|Shots On Goal|Corners|Fouls|Match Notice
25285256|Home|USA|2|http://ichef.bbci.co.uk/onesport/images/football/team-badges/66/usa.png|48|15|5|6|11|No Special Notice
25285256|Away|Portugal|2|http://ichef.bbci.co.uk/onesport/images/football/team-badges/66/portugal.png|52|21|7|4|14|No Special Notice
25285242|Home|Belgium|1|http://ichef.bbci.co.uk/onesport/images/football/team-badges/66/belgium.png|51|12|2|5|14|No Special Notice
25285242|Away|Russia|0|http://ichef.bbci.co.uk/onesport/images/football/team-badges/66/russia.png|49|12|3|8|9|No Special Notice
25285249|Home|South Korea|2|http://ichef.bbci.co.uk/onesport/images/football/team-badges/66/south-korea.png|52|8|4|7|13|No Special Notice
25285249|Away|Algeria|4|http://ichef.bbci.co.uk/onesport/images/football/team-badges/66/algeria.png|48|15|5|5|16|No Special Notice
25285221|Home|Argentina|1|http://ichef.bbci.co.uk/onesport/images/football/team-badges/66/argentina.png|76|21|4|10|7|No Special Notice
25285221|Away|Iran|0|http://ichef.bbci.co.uk/onesport/images/football/team-badges/66/iran.png|24|8|3|6|14|No Special Notice
25285235|Home|Nigeria|1|http://ichef.bbci.co.uk/onesport/images/football/team-badges/66/nigeria.png|41|20|9|4|9|No Special Notice
25285235|Away|Bos-Herce|0|http://ichef.bbci.co.uk/onesport/images/football/team-badges/66/bosnia-hercegovina.png|59|20|7|4|7|No Special Notice
25285228|Home|Germany|2|http://ichef.bbci.co.uk/onesport/images/football/team-badges/66/germany.png|62|12|4|7|11|No Special Notice
25285228|Away|Ghana|2|http://ichef.bbci.co.uk/onesport/images/football/team-badges/66/ghana.png|38|18|6|3|17|No Special Notice
25285190|Home|Italy|0|http://ichef.bbci.co.uk/onesport/images/football/team-badges/66/italy.png|61|11|4|4|10|No Special Notice
25285190|Away|Costa Rica|1|http://ichef.bbci.co.uk/onesport/images/football/team-badges/66/costa-rica.png|39|11|5|5|23|No Special Notice
25285207|Home|Switzerland|2|http://ichef.bbci.co.uk/onesport/images/football/team-badges/66/switzerland.png|59|17|4|5|12|No Special Notice
25285207|Away|France|5|http://ichef.bbci.co.uk/onesport/images/football/team-badges/66/france.png|41|22|12|3|15|No Special Notice
25285214|Home|Honduras|1|http://ichef.bbci.co.uk/onesport/images/football/team-badges/66/honduras.png|50|17|5|4|15|No Special Notice
25285214|Away|Ecuador|2|http://ichef.bbci.co.uk/onesport/images/football/team-badges/66/ecuador.png|50|10|4|12|16|No Special Notice
25285169|Home|Colombia|2|http://ichef.bbci.co.uk/onesport/images/football/team-badges/66/colombia.png|45|11|6|5|11|No Special Notice
25285169|Away|Ivory Coast|1|http://ichef.bbci.co.uk/onesport/images/football/team-badges/66/ivory-coast.png|55|13|3|5|14|No Special Notice
25285183|Home|Japan|0|http://ichef.bbci.co.uk/onesport/images/football/team-badges/66/japan.png|74|18|4|5|23|No Special Notice
25285183|Away|Greece|0|http://ichef.bbci.co.uk/onesport/images/football/team-badges/66/greece.png|26|9|4|7|18|No Special Notice
25285176|Home|Uruguay|2|http://ichef.bbci.co.uk/onesport/images/football/team-badges/66/uruguay.png|37|8|2|7|17|No Special Notice
25285176|Away|England|1|http://ichef.bbci.co.uk/onesport/images/football/team-badges/66/england.png|63|12|6|6|12|No Special Notice
25285162|Home|Cameroon|0|http://ichef.bbci.co.uk/onesport/images/football/team-badges/66/cameroon.png|42|17|2|4|11|No Special Notice
25285162|Away|Croatia|4|http://ichef.bbci.co.uk/onesport/images/football/team-badges/66/croatia.png|58|18|9|7|9|No Special Notice
25285148|Home|Australia|2|http://ichef.bbci.co.uk/onesport/images/football/team-badges/66/australia.png|50|10|4|3|18|No Special Notice
25285148|Away|Netherlands|3|http://ichef.bbci.co.uk/onesport/images/football/team-badges/66/netherlands.png|50|14|9|2|25|No Special Notice
25285155|Home|Spain|0|http://ichef.bbci.co.uk/onesport/images/football/team-badges/66/spain.png|63|16|6|7|14|No Special Notice
25285155|Away|Chile|2|http://ichef.bbci.co.uk/onesport/images/football/team-badges/66/chile.png|37|8|4|1|15|No Special Notice
